workclass,race,sex,native-country,income,age_range,hours-per-week_range,education-degree
private,white,female,united-states,<=50k,45-60,41-60,HS-College
private,white,female,dominican-republic,<=50k,15-30,21-40,Elementary
,white,female,united-states,<=50k,15-30,21-40,MiddleSchool
federal-gov,black,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,0-20,HS-College
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,male,united-states,>50k,45-60,41-60,Bach
,white,male,united-states,>50k,45-60,21-40,Postmaster
private,white,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,>50k,30-45,61-80,Bach
state-gov,white,male,united-states,<=50k,15-30,0-20,Assoc
self-emp-not-inc,white,male,united-states,>50k,30-45,21-40,Bach
,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,45-60,41-60,MiddleSchool
private,black,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,45-60,21-40,Bach
private,white,male,united-states,>50k,45-60,41-60,HS-College
private,black,female,,<=50k,30-45,21-40,Bach
private,white,male,canada,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,black,female,united-states,<=50k,30-45,41-60,HS-College
federal-gov,white,female,united-states,<=50k,30-45,21-40,Bach
self-emp-inc,white,male,united-states,>50k,45-60,61-80,Mast
private,amer-indian-eskimo,female,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,45-60,21-40,MiddleSchool
self-emp-not-inc,black,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,HS-College
state-gov,white,male,united-states,>50k,45-60,21-40,HS-College
private,black,female,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
private,white,male,united-states,<=50k,30-45,61-80,HS-College
private,other,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,45-60,21-40,Bach
private,white,female,united-states,<=50k,45-60,21-40,HS-College
self-emp-not-inc,white,male,united-states,>50k,45-60,21-40,Assoc
private,white,male,,<=50k,30-45,21-40,Mast
private,white,male,united-states,<=50k,45-60,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,england,<=50k,15-30,41-60,HS-College
state-gov,white,female,united-states,<=50k,30-45,21-40,Mast
private,white,female,united-states,<=50k,15-30,41-60,HS-College
private,white,female,united-states,<=50k,45-60,21-40,MiddleSchool
self-emp-not-inc,white,male,united-states,<=50k,45-60,41-60,Bach
private,asian-pac-islander,female,united-states,<=50k,15-30,21-40,Bach
self-emp-not-inc,white,female,united-states,<=50k,30-45,21-40,Mast
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,mexico,<=50k,30-45,41-60,Elementary
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,45-60,0-20,HS-College
,white,male,united-states,<=50k,60-75,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Assoc
,white,female,united-states,<=50k,45-60,0-20,HS-College
private,white,male,united-states,>50k,45-60,21-40,Bach
federal-gov,white,female,united-states,<=50k,45-60,0-20,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,45-60,41-60,Assoc
state-gov,white,male,united-states,>50k,45-60,21-40,Mast
private,white,male,united-states,<=50k,15-30,41-60,MiddleSchool
local-gov,white,female,united-states,<=50k,60-75,0-20,Elementary
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,MiddleSchool
federal-gov,white,female,united-states,<=50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Bach
self-emp-not-inc,white,male,united-states,>50k,15-30,41-60,Assoc
private,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
local-gov,black,male,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,45-60,41-60,Postmaster
private,black,male,united-states,<=50k,15-30,41-60,Bach
private,white,female,united-states,<=50k,30-45,0-20,HS-College
self-emp-not-inc,white,male,united-states,>50k,45-60,21-40,Mast
private,white,male,united-states,<=50k,30-45,41-60,HS-College
local-gov,white,male,united-states,<=50k,45-60,21-40,MiddleSchool
private,white,female,united-states,<=50k,45-60,21-40,MiddleSchool
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,Elementary
private,black,female,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Bach
self-emp-inc,white,male,united-states,>50k,30-45,41-60,Postmaster
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,>50k,45-60,21-40,Bach
state-gov,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,canada,<=50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
,black,male,,<=50k,30-45,41-60,Bach
private,white,male,united-states,>50k,15-30,41-60,Assoc
,white,male,cuba,<=50k,60-75,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
self-emp-not-inc,white,male,united-states,>50k,45-60,61-80,Bach
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,asian-pac-islander,female,philippines,<=50k,60-75,0-20,Elementary
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,>50k,45-60,41-60,Mast
private,asian-pac-islander,female,philippines,<=50k,60-75,41-60,Preschool
private,white,female,united-states,<=50k,45-60,41-60,Assoc
private,white,male,united-states,<=50k,60-75,0-20,HS-College
private,white,male,,>50k,45-60,21-40,Postmaster
federal-gov,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,30-45,41-60,Postmaster
state-gov,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Bach
private,amer-indian-eskimo,male,united-states,<=50k,45-60,21-40,Elementary
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
state-gov,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
state-gov,white,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,60-75,21-40,Assoc
private,white,female,united-states,<=50k,45-60,21-40,MiddleSchool
,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,>50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,45-60,21-40,HS-College
local-gov,white,female,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,60-75,41-60,Mast
private,white,male,united-states,<=50k,30-45,41-60,Mast
local-gov,black,female,united-states,<=50k,15-30,21-40,Assoc
,white,male,united-states,>50k,75-90,21-40,HS-College
private,black,female,united-states,<=50k,45-60,21-40,HS-College
self-emp-inc,white,male,united-states,<=50k,30-45,41-60,Postmaster
private,white,male,united-states,<=50k,15-30,21-40,Bach
self-emp-inc,white,male,united-states,>50k,45-60,21-40,Assoc
private,asian-pac-islander,female,united-states,<=50k,30-45,0-20,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,mexico,<=50k,15-30,21-40,Elementary
private,black,male,united-states,<=50k,45-60,0-20,Assoc
private,black,female,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,HS-College
,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,61-80,HS-College
private,white,male,united-states,<=50k,30-45,41-60,Mast
self-emp-not-inc,white,male,united-states,>50k,60-75,0-20,Mast
private,black,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,black,female,united-states,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,15-30,41-60,Assoc
private,black,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,HS-College
private,other,male,mexico,<=50k,30-45,21-40,MiddleSchool
self-emp-not-inc,white,male,united-states,<=50k,45-60,41-60,Elementary
self-emp-not-inc,white,male,united-states,<=50k,60-75,0-20,HS-College
private,white,female,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,black,female,united-states,<=50k,15-30,21-40,HS-College
local-gov,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,female,mexico,<=50k,45-60,21-40,Preschool
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,asian-pac-islander,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
local-gov,asian-pac-islander,male,united-states,>50k,60-75,21-40,HS-College
private,asian-pac-islander,female,united-states,<=50k,15-30,0-20,HS-College
private,white,male,united-states,<=50k,45-60,21-40,MiddleSchool
state-gov,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,0-20,Postmaster
private,white,female,mexico,<=50k,15-30,21-40,Elementary
private,white,female,united-states,<=50k,15-30,21-40,HS-College
self-emp-inc,asian-pac-islander,male,united-states,>50k,45-60,41-60,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
local-gov,white,female,united-states,<=50k,45-60,21-40,Mast
private,white,female,united-states,<=50k,15-30,0-20,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,black,male,united-states,<=50k,15-30,41-60,Bach
,asian-pac-islander,male,taiwan,<=50k,15-30,21-40,Assoc
private,black,female,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,>50k,30-45,21-40,Bach
private,black,male,united-states,<=50k,30-45,21-40,HS-College
state-gov,white,male,united-states,<=50k,30-45,21-40,Bach
self-emp-not-inc,white,male,united-states,>50k,60-75,21-40,Bach
private,white,female,united-states,<=50k,30-45,41-60,Mast
private,black,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,60-75,41-60,Assoc
private,black,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,united-states,>50k,60-75,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,Elementary
,black,female,united-states,<=50k,15-30,21-40,Mast
private,white,male,united-states,>50k,45-60,21-40,HS-College
state-gov,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,15-30,0-20,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,0-20,Assoc
local-gov,black,male,united-states,>50k,30-45,21-40,Bach
,white,male,united-states,<=50k,60-75,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Bach
self-emp-not-inc,white,male,united-states,>50k,60-75,81-100,Elementary
self-emp-not-inc,white,male,united-states,<=50k,30-45,0-20,Elementary
private,black,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,black,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,45-60,21-40,Bach
self-emp-not-inc,white,male,united-states,<=50k,45-60,41-60,Postmaster
private,white,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,41-60,HS-College
state-gov,white,male,united-states,<=50k,30-45,21-40,Assoc
state-gov,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,>50k,30-45,41-60,Mast
private,asian-pac-islander,female,united-states,<=50k,30-45,21-40,Bach
federal-gov,black,female,united-states,>50k,45-60,41-60,Bach
local-gov,white,male,united-states,>50k,30-45,61-80,Assoc
private,white,female,united-states,<=50k,30-45,21-40,Mast
private,other,female,united-states,<=50k,30-45,61-80,HS-College
private,black,male,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,<=50k,30-45,41-60,Assoc
self-emp-not-inc,white,male,cuba,>50k,30-45,21-40,Mast
private,white,male,united-states,<=50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,45-60,21-40,Bach
state-gov,asian-pac-islander,female,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,>50k,15-30,41-60,Bach
self-emp-not-inc,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,60-75,61-80,HS-College
self-emp-not-inc,white,female,,>50k,45-60,21-40,Mast
private,black,female,united-states,<=50k,30-45,21-40,HS-College
local-gov,white,male,united-states,>50k,45-60,41-60,Mast
private,white,female,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,Assoc
self-emp-inc,white,female,united-states,<=50k,30-45,21-40,Bach
private,black,male,united-states,<=50k,15-30,21-40,Assoc
,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,Assoc
state-gov,white,female,united-states,<=50k,30-45,21-40,HS-College
local-gov,white,female,united-states,<=50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,black,male,,<=50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,45-60,21-40,MiddleSchool
local-gov,white,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
state-gov,black,female,united-states,<=50k,15-30,0-20,Mast
private,white,male,united-states,<=50k,15-30,21-40,Assoc
local-gov,asian-pac-islander,male,philippines,>50k,30-45,21-40,Bach
private,white,male,united-states,>50k,45-60,21-40,Assoc
self-emp-not-inc,white,male,united-states,>50k,30-45,41-60,Postmaster
private,white,female,united-states,<=50k,15-30,21-40,Bach
,white,female,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,30-45,21-40,Bach
local-gov,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,60-75,21-40,Assoc
private,white,male,mexico,<=50k,30-45,61-80,MiddleSchool
self-emp-inc,white,male,united-states,>50k,30-45,21-40,Mast
self-emp-not-inc,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,>50k,45-60,41-60,HS-College
self-emp-inc,white,male,united-states,>50k,45-60,41-60,Bach
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,black,male,united-states,<=50k,30-45,21-40,MiddleSchool
private,asian-pac-islander,male,philippines,>50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,mexico,<=50k,30-45,21-40,HS-College
private,black,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
,white,female,united-states,<=50k,15-30,21-40,Assoc
state-gov,white,male,united-states,<=50k,15-30,41-60,Assoc
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,MiddleSchool
self-emp-inc,white,male,united-states,>50k,75-90,41-60,Bach
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,Assoc
local-gov,white,male,united-states,>50k,30-45,21-40,Bach
self-emp-not-inc,white,male,united-states,>50k,30-45,41-60,Assoc
local-gov,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,Assoc
state-gov,white,male,united-states,<=50k,30-45,21-40,Mast
self-emp-not-inc,white,male,united-states,>50k,60-75,41-60,Assoc
state-gov,white,male,united-states,<=50k,30-45,21-40,Bach
self-emp-inc,white,male,italy,>50k,45-60,41-60,Bach
private,white,male,united-states,>50k,45-60,21-40,Mast
private,black,male,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,45-60,41-60,Mast
private,white,male,united-states,>50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,england,<=50k,45-60,0-20,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Bach
local-gov,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,male,united-states,<=50k,45-60,41-60,Mast
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,black,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,female,united-states,<=50k,45-60,0-20,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,41-60,HS-College
self-emp-not-inc,white,male,united-states,>50k,45-60,21-40,Mast
private,white,female,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,21-40,Mast
self-emp-not-inc,white,male,united-states,<=50k,45-60,41-60,Assoc
private,white,male,united-states,>50k,15-30,41-60,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Assoc
state-gov,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,41-60,HS-College
,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,30-45,41-60,HS-College
private,white,male,mexico,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,HS-College
private,asian-pac-islander,male,japan,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,MiddleSchool
,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
local-gov,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,30-45,0-20,Assoc
self-emp-inc,white,male,united-states,>50k,30-45,61-80,Postmaster
local-gov,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,30-45,41-60,Bach
,other,female,united-states,<=50k,15-30,0-20,MiddleSchool
private,white,female,united-states,<=50k,45-60,41-60,Bach
private,white,male,united-states,<=50k,30-45,0-20,HS-College
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,>50k,45-60,21-40,Bach
,white,female,united-states,<=50k,30-45,21-40,Assoc
private,black,female,united-states,<=50k,15-30,21-40,HS-College
,white,female,united-states,<=50k,30-45,0-20,Assoc
self-emp-not-inc,white,male,united-states,<=50k,60-75,41-60,MiddleSchool
private,white,male,united-states,>50k,30-45,21-40,Mast
private,white,male,united-states,<=50k,15-30,21-40,HS-College
local-gov,white,female,united-states,<=50k,15-30,21-40,Bach
,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,mexico,<=50k,15-30,21-40,MiddleSchool
federal-gov,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,30-45,21-40,MiddleSchool
private,white,male,united-states,>50k,15-30,41-60,Bach
,white,female,united-states,<=50k,15-30,21-40,Assoc
private,black,male,united-states,<=50k,30-45,21-40,Assoc
,white,male,united-states,<=50k,75-90,0-20,HS-College
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,black,female,united-states,<=50k,45-60,21-40,MiddleSchool
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
state-gov,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,15-30,41-60,MiddleSchool
private,white,male,cuba,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,0-20,HS-College
private,white,female,united-states,<=50k,45-60,0-20,HS-College
private,black,female,united-states,<=50k,30-45,21-40,HS-College
private,asian-pac-islander,male,india,>50k,30-45,21-40,Mast
local-gov,white,female,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,30-45,41-60,MiddleSchool
private,white,male,united-states,>50k,30-45,41-60,Bach
self-emp-inc,white,male,united-states,<=50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,45-60,21-40,Elementary
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
self-emp-inc,white,male,united-states,>50k,60-75,41-60,Postmaster
local-gov,white,male,united-states,>50k,15-30,41-60,Bach
private,white,male,united-states,>50k,45-60,61-80,Bach
state-gov,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,45-60,21-40,MiddleSchool
,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,female,united-states,<=50k,60-75,21-40,HS-College
private,white,male,united-states,>50k,45-60,41-60,Assoc
self-emp-inc,white,male,united-states,>50k,30-45,41-60,Bach
,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,60-75,21-40,Mast
private,white,male,united-states,<=50k,45-60,41-60,HS-College
,white,female,united-states,<=50k,15-30,21-40,Bach
local-gov,white,male,united-states,>50k,30-45,21-40,Mast
self-emp-not-inc,white,female,united-states,<=50k,30-45,21-40,HS-College
federal-gov,white,male,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,15-30,41-60,Bach
private,white,male,united-states,<=50k,30-45,41-60,Assoc
,white,female,united-states,>50k,30-45,0-20,Bach
local-gov,white,female,united-states,>50k,45-60,21-40,Bach
without-pay,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,female,mexico,<=50k,30-45,21-40,Elementary
private,white,male,united-states,<=50k,45-60,21-40,Assoc
private,black,female,united-states,<=50k,15-30,21-40,HS-College
local-gov,white,female,france,<=50k,45-60,41-60,Bach
,other,female,puerto-rico,<=50k,60-75,21-40,HS-College
state-gov,white,female,united-states,>50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,germany,<=50k,45-60,0-20,Assoc
self-emp-not-inc,white,male,united-states,>50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,15-30,41-60,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
,white,male,united-states,<=50k,15-30,0-20,Bach
private,white,male,united-states,<=50k,15-30,0-20,HS-College
state-gov,white,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,45-60,41-60,Bach
private,white,male,united-states,>50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Bach
,white,female,united-states,<=50k,60-75,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,45-60,21-40,Mast
,white,female,,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,45-60,21-40,Assoc
private,white,female,united-states,<=50k,15-30,0-20,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
state-gov,asian-pac-islander,male,hong,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,45-60,21-40,Bach
private,black,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,amer-indian-eskimo,male,united-states,>50k,30-45,41-60,MiddleSchool
private,white,female,poland,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,30-45,41-60,Mast
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,30-45,41-60,Bach
private,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,60-75,21-40,Elementary
private,white,male,united-states,<=50k,30-45,21-40,HS-College
local-gov,black,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,60-75,21-40,Assoc
self-emp-not-inc,asian-pac-islander,male,,>50k,30-45,21-40,Mast
private,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,>50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,<=50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,45-60,81-100,Bach
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
local-gov,white,female,united-states,<=50k,30-45,21-40,Mast
private,white,male,united-states,>50k,45-60,21-40,Assoc
